TF,atr,mult_e,sesi,mode,hijau,n_IS,PF_IS,avgR_IS,net_IS,DD_IS,n_OOS,PF_OOS,avgR_OOS,net_OOS,DD_OOS
M30,14,2.5,all,conservative,4/7,509,0.99,-0.007,-102.0,-879.0,163,1.36,0.263,1285.0,-859.0
M30,14,1.2,all,conservative,5/7,1678,0.95,-0.015,-780.0,-1538.0,613,1.41,0.258,4753.0,-813.0
M30,20,1.2,all,conservative,5/7,1663,0.96,-0.013,-642.0,-1323.0,612,1.41,0.251,4614.0,-737.0
H1,20,3.2,all,direct,6/7,537,1.02,0.013,208.0,-1104.0,186,1.3,0.251,1402.0,-915.0
M30,10,2.5,ny,direct,4/6,450,0.99,-0.008,-106.0,-1601.0,138,1.28,0.234,970.0,-1093.0
H1,20,2.5,all,direct,5/7,765,0.97,-0.018,-411.0,-1126.0,291,1.28,0.231,2018.0,-1285.0
H1,7,1.2,all,direct,3/7,1973,0.92,-0.034,-1990.0,-2781.0,682,1.32,0.229,4692.0,-1193.0
M30,7,1.8,ny,direct,3/6,632,0.92,-0.05,-954.0,-1728.0,210,1.26,0.221,1394.0,-1107.0
M30,7,2.5,asia,direct,3/6,202,1.24,0.186,1125.0,-705.0,109,1.25,0.218,714.0,-1270.0
M30,10,1.2,all,conservative,4/7,1681,0.98,-0.007,-359.0,-1521.0,615,1.34,0.215,3961.0,-929.0
H1,10,1.2,all,direct,3/7,1969,0.94,-0.026,-1510.0,-2869.0,682,1.3,0.213,4352.0,-1254.0
M30,10,1.8,all,direct,3/7,2457,0.9,-0.039,-2863.0,-3832.0,852,1.31,0.21,5362.0,-1389.0
M30,7,1.2,all,conservative,4/7,1661,0.99,-0.003,-148.0,-1090.0,612,1.32,0.203,3735.0,-1042.0
M30,10,1.2,ny,direct,3/6,988,0.97,-0.016,-463.0,-2123.0,357,1.25,0.203,2177.0,-1335.0
M30,14,1.2,ny,direct,3/6,1023,0.96,-0.022,-676.0,-1816.0,350,1.25,0.201,2112.0,-1012.0
H1,10,3.2,all,conservative,5/7,244,1.31,0.195,1426.0,-552.0,86,1.23,0.201,518.0,-734.0
H1,14,1.2,all,direct,3/7,1961,0.93,-0.029,-1707.0,-2533.0,680,1.27,0.199,4060.0,-1345.0
M30,7,1.8,all,direct,3/7,2439,0.92,-0.032,-2312.0,-2956.0,858,1.28,0.193,4966.0,-1446.0
H1,20,1.2,all,direct,4/7,1939,0.96,-0.018,-1075.0,-1795.0,690,1.26,0.192,3976.0,-1428.0
M30,20,3.2,all,conservative,5/7,458,1.0,-0.001,-17.0,-948.0,156,1.24,0.191,893.0,-1141.0
M30,14,1.8,all,direct,3/7,2451,0.92,-0.032,-2330.0,-3142.0,856,1.26,0.176,4521.0,-1220.0
H1,10,2.5,all,conservative,5/7,264,1.22,0.126,996.0,-561.0,88,1.21,0.173,456.0,-577.0
H1,14,2.5,all,conservative,6/7,263,1.11,0.063,500.0,-612.0,84,1.2,0.163,412.0,-737.0
M30,20,2.5,ny,direct,3/6,469,0.99,-0.006,-84.0,-1392.0,142,1.18,0.155,662.0,-1085.0
H1,7,2.5,all,direct,3/7,793,0.92,-0.049,-1160.0,-1567.0,277,1.19,0.154,1280.0,-1793.0
M30,14,2.5,ny,direct,3/6,465,0.99,-0.009,-120.0,-1577.0,141,1.18,0.153,648.0,-1087.0
H1,14,3.2,all,direct,5/7,533,1.03,0.022,358.0,-870.0,198,1.18,0.151,899.0,-1572.0
H1,14,3.2,all,conservative,5/7,234,1.27,0.171,1202.0,-748.0,80,1.17,0.15,360.0,-673.0
