TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
M30,1.8,20,5.0,asia,613,2876.0,1.27,32.8,0.004,-1395.0,2/6,-0.054,-408.0,0.06,3284.0
M30,1.2,10,flip,ny,1658,423.0,1.02,37.3,0.004,-1427.0,2/6,-0.0,360.0,0.009,63.0
H1,1.8,10,3.0,all,1629,2686.0,1.06,34.6,0.003,-2987.0,3/6,-0.001,-433.0,0.007,3119.0
H1,1.8,20,3.0,all,1629,3858.0,1.09,35.1,0.003,-2360.0,3/6,-0.01,-316.0,0.017,4174.0
M30,1.2,20,2.0,ny,1658,1041.0,1.04,37.9,0.003,-1452.0,5/6,0.002,292.0,0.005,749.0
M15,1.8,20,2.0,ny,1927,388.0,1.01,38.0,0.003,-1940.0,3/6,0.012,559.0,-0.007,-171.0
H1,1.8,20,4.0,all,1629,3853.0,1.09,35.1,0.003,-2090.0,3/6,-0.009,-393.0,0.018,4246.0
M15,1.8,20,flip,ny,1927,120.0,1.0,37.7,0.002,-1603.0,4/6,0.018,724.0,-0.017,-604.0
M30,1.2,10,2.0,ny,1658,1092.0,1.04,37.6,0.002,-1355.0,4/6,-0.001,247.0,0.005,846.0
H1,1.2,10,4.0,ny,778,-539.0,0.96,37.3,0.002,-2067.0,3/6,0.008,-75.0,-0.007,-464.0
M15,1.8,20,5.0,ny,1927,323.0,1.01,37.7,0.002,-1785.0,4/6,0.022,904.0,-0.022,-581.0
M15,1.8,10,flip,ny,1927,19.0,1.0,37.4,0.001,-1651.0,4/6,0.015,697.0,-0.017,-678.0
M15,1.8,10,5.0,ny,1927,254.0,1.01,37.4,0.001,-1854.0,4/6,0.02,928.0,-0.023,-674.0
H1,1.8,20,flip,all,1629,1874.0,1.04,35.1,-0.0,-2090.0,4/6,-0.001,-438.0,0.001,2312.0
M30,1.8,20,3.0,asia,613,2650.0,1.24,32.8,0.0,-1395.0,2/6,-0.061,-405.0,0.06,3055.0
M15,1.8,10,2.0,ny,1927,-60.0,1.0,37.9,-0.0,-2109.0,3/6,0.005,502.0,-0.007,-562.0
H1,1.2,10,flip,all,2649,4001.0,1.07,33.8,-0.001,-2925.0,2/6,-0.037,-1635.0,0.043,5636.0
M15,1.8,20,4.0,ny,1927,80.0,1.0,37.7,-0.001,-1553.0,4/6,0.023,931.0,-0.03,-851.0
M15,1.8,10,4.0,ny,1927,-31.0,1.0,37.4,-0.002,-1621.0,4/6,0.018,840.0,-0.028,-870.0
H1,1.8,20,4.0,ny,532,519.0,1.04,36.1,-0.003,-2230.0,4/6,0.005,155.0,-0.015,364.0
H1,1.8,20,5.0,ny,532,330.0,1.03,36.1,-0.003,-2363.0,4/6,0.015,333.0,-0.029,-3.0
H1,1.8,10,flip,all,1629,185.0,1.0,34.4,-0.003,-3038.0,3/6,-0.003,-681.0,-0.004,867.0
H1,1.2,20,flip,asia,449,1958.0,1.2,33.4,-0.004,-968.0,3/6,-0.08,-487.0,0.071,2446.0
H1,1.2,10,5.0,all,2649,4579.0,1.09,33.8,-0.004,-2925.0,2/6,-0.048,-1755.0,0.049,6333.0
H1,1.2,20,flip,all,2649,3999.0,1.07,34.2,-0.004,-2883.0,2/6,-0.024,-1618.0,0.02,5617.0
H1,1.2,10,3.0,ny,778,-747.0,0.95,37.3,-0.005,-2049.0,3/6,0.005,-90.0,-0.02,-657.0
H1,1.2,20,4.0,ny,778,-1087.0,0.93,37.3,-0.005,-2552.0,2/6,0.012,-51.0,-0.031,-1036.0
H1,1.8,10,3.0,ny,532,315.0,1.03,35.7,-0.005,-2247.0,4/6,0.014,323.0,-0.033,-8.0
H1,1.2,10,flip,asia,449,1779.0,1.18,32.7,-0.005,-1122.0,3/6,-0.124,-641.0,0.113,2420.0
H1,1.2,10,2.0,ny,778,-1186.0,0.92,37.7,-0.006,-2259.0,1/6,0.008,-125.0,-0.026,-1061.0
H1,1.2,20,3.0,ny,778,-1036.0,0.93,37.3,-0.008,-2278.0,2/6,0.008,-75.0,-0.032,-961.0
H1,1.2,10,4.0,asia,449,1577.0,1.16,32.7,-0.009,-907.0,2/6,-0.094,-421.0,0.074,1999.0
H1,1.2,20,5.0,all,2649,3907.0,1.07,34.2,-0.01,-2952.0,3/6,-0.036,-1841.0,0.022,5748.0
H1,1.2,20,4.0,asia,449,1804.0,1.18,33.4,-0.01,-907.0,3/6,-0.088,-467.0,0.067,2271.0
H1,1.8,10,4.0,ny,532,174.0,1.01,35.5,-0.01,-2210.0,4/6,-0.001,115.0,-0.022,58.0
H1,1.8,20,2.0,ny,532,238.0,1.02,36.5,-0.01,-2051.0,4/6,-0.007,7.0,-0.015,231.0
H1,1.2,10,4.0,all,2649,4363.0,1.08,33.8,-0.011,-3279.0,2/6,-0.05,-1918.0,0.037,6281.0
